Gene,Meta information,image_path
ACTB,Major.cell.type,VlnPlot/Major.cell.type/ACTB.pdf
ACTG1,Major.cell.type,VlnPlot/Major.cell.type/ACTG1.pdf
ACTR2,Major.cell.type,VlnPlot/Major.cell.type/ACTR2.pdf
AEBP1,Major.cell.type,VlnPlot/Major.cell.type/AEBP1.pdf
AIF1,Major.cell.type,VlnPlot/Major.cell.type/AIF1.pdf
AKAP13,Major.cell.type,VlnPlot/Major.cell.type/AKAP13.pdf
ANXA1,Major.cell.type,VlnPlot/Major.cell.type/ANXA1.pdf
ANXA2,Major.cell.type,VlnPlot/Major.cell.type/ANXA2.pdf
ANXA5,Major.cell.type,VlnPlot/Major.cell.type/ANXA5.pdf
APLP2,Major.cell.type,VlnPlot/Major.cell.type/APLP2.pdf
APOC1,Major.cell.type,VlnPlot/Major.cell.type/APOC1.pdf
APOE,Major.cell.type,VlnPlot/Major.cell.type/APOE.pdf
ARF4,Major.cell.type,VlnPlot/Major.cell.type/ARF4.pdf
ARHGDIB,Major.cell.type,VlnPlot/Major.cell.type/ARHGDIB.pdf
ARPC1B,Major.cell.type,VlnPlot/Major.cell.type/ARPC1B.pdf
ARPC2,Major.cell.type,VlnPlot/Major.cell.type/ARPC2.pdf
ARPC3,Major.cell.type,VlnPlot/Major.cell.type/ARPC3.pdf
ARPC5,Major.cell.type,VlnPlot/Major.cell.type/ARPC5.pdf
ASAH1,Major.cell.type,VlnPlot/Major.cell.type/ASAH1.pdf
ATP1B3,Major.cell.type,VlnPlot/Major.cell.type/ATP1B3.pdf
ATP5F1E,Major.cell.type,VlnPlot/Major.cell.type/ATP5F1E.pdf
ATP5MC2,Major.cell.type,VlnPlot/Major.cell.type/ATP5MC2.pdf
ATP5MC3,Major.cell.type,VlnPlot/Major.cell.type/ATP5MC3.pdf
ATP5ME,Major.cell.type,VlnPlot/Major.cell.type/ATP5ME.pdf
ATP5MG,Major.cell.type,VlnPlot/Major.cell.type/ATP5MG.pdf
ATP6V0B,Major.cell.type,VlnPlot/Major.cell.type/ATP6V0B.pdf
ATP6V0E1,Major.cell.type,VlnPlot/Major.cell.type/ATP6V0E1.pdf
B2M,Major.cell.type,VlnPlot/Major.cell.type/B2M.pdf
BCAM,Major.cell.type,VlnPlot/Major.cell.type/BCAM.pdf
BGN,Major.cell.type,VlnPlot/Major.cell.type/BGN.pdf
BRI3,Major.cell.type,VlnPlot/Major.cell.type/BRI3.pdf
BST2,Major.cell.type,VlnPlot/Major.cell.type/BST2.pdf
BTF3,Major.cell.type,VlnPlot/Major.cell.type/BTF3.pdf
BTG1,Major.cell.type,VlnPlot/Major.cell.type/BTG1.pdf
C12orf57,Major.cell.type,VlnPlot/Major.cell.type/C12orf57.pdf
C1QA,Major.cell.type,VlnPlot/Major.cell.type/C1QA.pdf
C1QB,Major.cell.type,VlnPlot/Major.cell.type/C1QB.pdf
C1QC,Major.cell.type,VlnPlot/Major.cell.type/C1QC.pdf
C1R,Major.cell.type,VlnPlot/Major.cell.type/C1R.pdf
C1S,Major.cell.type,VlnPlot/Major.cell.type/C1S.pdf
C5AR1,Major.cell.type,VlnPlot/Major.cell.type/C5AR1.pdf
CALD1,Major.cell.type,VlnPlot/Major.cell.type/CALD1.pdf
CALM1,Major.cell.type,VlnPlot/Major.cell.type/CALM1.pdf
CALM2,Major.cell.type,VlnPlot/Major.cell.type/CALM2.pdf
CALR,Major.cell.type,VlnPlot/Major.cell.type/CALR.pdf
CALU,Major.cell.type,VlnPlot/Major.cell.type/CALU.pdf
CAPZB,Major.cell.type,VlnPlot/Major.cell.type/CAPZB.pdf
CCDC80,Major.cell.type,VlnPlot/Major.cell.type/CCDC80.pdf
CCL5,Major.cell.type,VlnPlot/Major.cell.type/CCL5.pdf
CCNI,Major.cell.type,VlnPlot/Major.cell.type/CCNI.pdf
CD14,Major.cell.type,VlnPlot/Major.cell.type/CD14.pdf
CD163,Major.cell.type,VlnPlot/Major.cell.type/CD163.pdf
CD24,Major.cell.type,VlnPlot/Major.cell.type/CD24.pdf
